Sl.No.,,SOUTH - WEST MONSOON,,,,,,,,
,,,,,,,,,,
,,JUNE '23,,,JULY'23,,,AUG '23,,
,District,,,,,,,,,
,,Actual,Normal,% Dev.,Actual,Normal,% Dev.,Actual,Normal,% Dev.
1,2,3,4,5,6,7,8,9,10,11
1,Chennai,193.2,64.6,199.1,66.3,107.3,-38.2,259.4,133.6,94.2
2,Kancheepuram,189,66.5,184.2,90.1,109.1,-17.4,158.5,141.8,11.8
3,Chengalpattu,119.2,55.7,114,111.6,91.2,22.4,107.8,127.6,-15.5
4,Tiruvallur,143.4,71.8,99.7,61.4,106.7,-42.5,239.9,136.2,76.1
5,Cuddalore,70.1,45.7,53.4,72.5,70,3.6,150.4,111.5,34.9
6,Villupuram,82.7,52.7,56.9,120.9,84.1,43.8,121.7,127.8,-4.8
7,Kallakurichi,28.1,50.6,-44.5,60.4,78.3,-22.9,141.8,120.3,17.9
8,Vellore,112.4,64.9,73.2,85.3,97.4,-12.4,84.6,117.4,-27.9
9,Ranipet,110.2,69.6,58.3,76.3,108.7,-29.8,144,125.9,14.4
10,Tirupathur,82.3,63.7,29.2,78.9,86.4,-8.7,71.8,117.6,-38.9
11,Tiruvannamalai,89.1,60.4,47.5,82,94.1,-12.9,118.8,131.3,-9.5
12,Salem,50.9,57.2,-11,44.2,80.3,-45,95.8,115,-16.7
13,Namakkal,42.2,39.4,7.1,21.5,61.1,-64.8,90.8,96.7,-6.1
14,Dharmapuri,55.6,54.3,2.4,58.2,67.3,-13.5,64.6,99.3,-34.9
15,Krishnagiri,63.4,47.6,33.2,59.4,62.6,-5.1,74.5,94.5,-21.2
16,Coimbatore,75.3,172,-56.2,290.6,220.8,31.6,41.9,169.1,-75.2
17,Tiruppur,14.7,20.5,-28.3,12.7,21.8,-41.7,20.5,33.4,-38.6
18,Erode,39,46.1,-15.4,14.5,46.2,-68.6,38.2,63.6,-39.9
19,Tiruchirapalli,22.4,28.5,-21.4,14.8,46.1,-67.9,106.7,76.8,38.9
20,Karur,17.3,20.5,-15.6,2.6,29.6,-91.2,101.9,48.4,110.5
21,Perambalur,56,33.4,67.7,32.6,39.6,-17.7,149.5,83.4,79.3
22,Ariyalur,31.7,39,-18.7,45.1,54.2,-16.8,105.8,102.8,2.9
23,Pudukkottai,59.1,38.7,52.7,54.8,57.7,-5,85.9,89.7,-4.2
24,Thanjavur,55.5,34,63.2,40.2,58.3,-31,107.8,97.8,10.2
25,Tiruvarur,40.5,34.5,17.4,37.1,58.9,-37,83.8,91.2,-8.1
26,Nagapattinam,66.2,34.4,92.4,20.4,47.1,-56.7,34.7,74.8,-53.6
27,Mayiladuthurai,46.6,39.5,18,20.7,52.6,-60.6,64,99.1,-35.4
28,Madurai,29.6,39.4,-24.9,43.4,56,-22.5,147.7,77,91.8
29,Theni,24.8,31.2,-20.5,69.4,50.3,38,41.9,58.9,-28.9
30,Dindigul,53.8,41,31.2,18.6,50.5,-63.2,135.6,72.7,86.5
31,Ramanathapuram,10.4,15.2,-31.6,18.2,25.2,-27.8,11.8,33.4,-64.7
32,Virudhunagar,18.8,20.2,-6.9,30.2,35.6,-15.2,106.2,50.5,110.3
33,Sivagangai,48.6,45.4,7,75.9,74.2,2.3,101.2,87.7,15.4
34,Tirunelveli,7,22.9,-69.4,77.8,16.5,371.5,20.5,17.3,18.5
35,Tenkasi,7.2,47.3,-84.8,108.5,41.2,163.3,2.5,35.7,-93
36,Thoothukudi,10.9,6.1,78.7,0.2,10.7,-98.1,9.8,15.3,-35.9
37,The Nilgiris,120.9,195.7,-38.2,376.2,245.6,53.2,74.2,220.6,-66.4
38,Kanniyakumari,28.8,175,-83.5,72,108,-33.3,11.5,87.7,-86.9
State Average,,61,53.8,13.3,67.5,72.4,-6.8,92.8,94.3,-1.5
"Source: India Meteorogical Department, Chennai.",,,,,,,,,,
,,,,,,,,,,
Sl.No.,,SOUTH-WEST MONSOON (Contd..),,,,,,NORTH-EAST MONSOON,,
,,SEP '23,,,TOTAL,,,OCT '23,,
,District,,,,,,,,,
,,,Normal,% Dev.,Actual,Normal,% Dev.,Actual,Normal,% Dev.
1,2 12,,13,14,15,16,17,18,19,20
1,Chennai 259.8,,143,81.7,778.7,448.5,73.6,74.3,274.5,-72.9
2,Kancheepuram 369.5,,154.6,139,807.1,472,71,81.3,191.1,-57.5
3,Chengalpattu 281.2,,123.8,127.1,619.8,398.3,55.6,54.4,234.4,-76.8
4,Tiruvallur 291.6,,149,95.7,736.3,463.7,58.8,55.3,216.2,-74.4
5,Cuddalore 83.3,,128.5,-35.2,376.3,355.7,5.8,49.8,209.9,-76.3
6,Villupuram 230.8,,130.4,77,556.1,395,40.8,65.6,176.4,-62.8
7,Kallakurichi 154.1,,149.9,2.8,384.4,399.1,-3.7,47.1,160,-70.6
8,Vellore 291.3,,151.6,92.2,573.6,431.3,33,74.5,151.8,-50.9
9,Ranipet 252.3,,137.5,83.5,582.8,441.7,31.9,66.1,150.5,-56.1
10,Tirupathur 254.2,,158,60.9,487.2,425.7,14.4,51.1,129.1,-60.4
11,Tiruvannamalai 338.1,,164.7,105.3,628,450.5,39.4,65.3,173.2,-62.3
12,Salem 188.7,,153.9,22.6,379.6,406.4,-6.6,87,164.6,-47.1
13,Namakkal 144.3,,134.6,7.2,298.8,331.8,-9.9,98.2,134.9,-27.2
14,Dharmapuri 182.8,,159.9,14.3,361.2,380.8,-5.1,65.5,161.8,-59.5
15,Krishnagiri 171.2,,151.5,13,368.5,356.2,3.5,50.6,161,-68.6
16,Coimbatore 180.3,,127.2,41.7,588.1,689.1,-14.7,159.4,161.9,-1.5
17,Tiruppur 25.7,,80.2,-68,73.6,155.9,-52.8,112.6,139.3,-19.2
18,Erode 125.7,,111.7,12.5,217.4,267.6,-18.8,98.3,151,-34.9
19,Tiruchirapalli 126.3,,124.9,1.1,270.2,276.3,-2.2,82.8,145.8,-43.2
20,Karur 105.5,,103.1,2.3,227.3,201.6,12.7,76,129.5,-41.3
21,Perambalur 59.3,,121.4,-51.2,297.4,277.8,7.1,44.6,165.7,-73.1
22,Ariyalur 71.9,,118.8,-39.5,254.5,314.8,-19.2,36.8,158.2,-76.7
23,Pudukkottai 98.8,,108.7,-9.1,298.6,294.8,1.3,82.8,139.3,-40.6
24,Thanjavur 118.9,,112.7,5.5,322.4,302.8,6.5,84.4,171.9,-50.9
25,Tiruvarur 67.7,,112.6,-39.9,229.1,297.2,-22.9,65.7,198.7,-66.9
