,,,,,,,,,,,,,
,,AREA (in Ha.),,,,PRODUCTION (in Tonnes),,,,PRODUCTIVITY (Kg/ Ha),,,
,,,,,,,,,,,,,
S.,DISTRICT,,,,,,,,,,,,
NO.,,Kar/ Kuruvai/ Sorna- vari,,,,Kar/ Kuruvai/ Sorna- vari,,,,Kar/ Kuru- vai/ Sorna- vari,Samba / Thaladi / Pisha- nam,,
,,,Samba / Thaladi / Pishanam,Navarai/ Kodai,,,Samba / Thaladi / Pishanam,Navarai/ Kodai,,,,Nava- rai/ Kodai,
,,,,,Total,,,,Total,,,,Total
1,Chennai,20,90,9,119,-,-,-,-,-,-,-,-
2,Kancheepuram,"4,421","15,284","18,786","38,491","22,705","78,277","1,01,977","2,02,959","5,132","5,120","5,428","5,271"
3,Chengalpat,"5,140","15,846","27,852","48,838","26,030","75,099","1,29,248","2,30,377","5,064","4,739","4,640","4,717"
4,Thiruvallur,"18,297","51,567","26,745","96,609","90,737","2,07,074","1,21,916","4,19,727","4,955","4,009","4,557","4,340"
5,Cuddallore,"34,829","89,245","8,077","1,32,151","1,37,820","3,25,393","32,096","4,95,309","3,957","3,646","3,974","3,748"
6,Villupuram,"5,245","70,339","30,460","1,06,044","23,867","2,97,489","1,23,276","4,44,632","4,550","4,229","4,047","4,193"
7,KallakurichI,"1,764","42,520","12,965","57,249","7,720","1,70,562","58,969","2,37,251","4,376","4,011","4,548","4,144"
8,Vellore,962,"2,079","4,553","7,594","3,948","7,567","19,592","31,107","4,104","3,641","4,303","4,097"
9,Ranipet,"3,713","9,193","20,515","33,421","17,373","41,492","97,046","1,55,911","4,679","4,513","4,730","4,665"
10,Thirupathur,296,"2,929","1,329","4,554","1,215","10,662","5,719","17,596","4,104","3,641","4,303","3,864"
11,Thiruvannamalai,"11,356","88,153","62,170","1,61,679","46,903","3,82,922","2,59,644","6,89,469","4,130","4,344","4,176","4,264"
12,Salem,295,"15,141","4,154","19,590","1,211","65,898","17,484","84,593","4,104","4,352","4,209","4,318"
13,Namakkal,608,"9,103",842,"10,553","2,495","41,616","3,623","47,734","4,104","4,572","4,303","4,523"
14,Dharmapuri,8,"13,229","2,575","15,812",38,"56,481","11,272","67,791","4,733","4,269","4,378","4,287"
15,Krishnagiri,"2,922","14,019","6,627","23,568","14,195","63,317","33,176","1,10,688","4,857","4,516","5,007","4,697"
16,Coimbatore,11,733,117,861,48,"2,667",504,"3,219","4,104","3,641","4,303","3,737"
17,Thiruppur,-,"9,185",664,"9,849",-,"44,903","2,857","47,760",-,"4,889","4,303","4,849"
18,Erode,306,"26,756","7,505","34,567","1,257","1,24,038","32,297","1,57,592","4,104","4,636","4,303","4,559"
19,Tiruchirapalli,"3,522","43,131","2,970","49,623","18,508","1,79,810","11,824","2,10,142","5,254","4,169","3,981","4,235"
20,Karur,-,"10,862",268,"11,130",-,"37,843","1,154","38,997",-,"3,484","4,303","3,504"
21,Perambalur,60,"3,710","2,392","6,162",247,"16,448","10,293","26,988","4,104","4,434","4,303","4,380"
22,Ariyalur,"2,448","20,379",397,"23,224","8,348","79,599","1,709","89,656","3,410","3,906","4,303","3,861"
23,Pudukottai,"4,072","79,902","3,835","87,809","15,182","2,46,039","11,967","2,73,188","3,728","3,079","3,121","3,111"
24,Thanjavur,"37,085","1,35,102","20,044","1,92,231","1,39,259","4,94,543","81,310","7,15,112","3,755","3,661","4,057","3,720"
25,Thiruvarur,"22,685","1,48,477","9,738","1,80,900","89,389","5,27,607","42,283","6,59,279","3,940","3,553","4,342","3,644"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,AREA (in Ha.),,,,PRODUCTION (in Tonnes),,,,PRODUCTIVITY (Kg/ Ha),,,
,,,,,,,,,,,,,
S.,DISTRICT,,,,,,,,,,,,
NO.,,Kar/ Kuruvai/ Sorna- vari,,,,Kar/ Kuruvai/ Sorna- vari,,,,Kar/ Kuru- vai/ Sorna- vari,Samba / Thaladi / Pisha- nam,,
,,,Samba / Thaladi / Pishanam,Navarai/ Kodai,,,Samba / Thaladi / Pishanam,Navarai/ Kodai,,,,Nava- rai/ Kodai,
,,,,,Total,,,,Total,,,,Total
26,Nagapattinam,"36,665","1,32,169",388,"1,69,222","1,40,038","4,16,902","1,669","5,58,609","3,819","3,154","4,303","3,301"
27,Madurai,658,"32,096","7,714","40,468","2,699","1,34,887","28,330","1,65,916","4,104","4,203","3,673","4,100"
